,idno,author.name,title,year,supergenre,genre,subgenre.cligs.important,author.country,author.viaf,author.bne,author.gender,title.main,title.viaf,title.bne,author.name.full,subtitle,availability,subgenre.cligs,genre.analyzed,genre.analyzed.cert,date.file,digital.source,digital.source.format,genre.subtitle,narrator,protagonist.gender,setting.type,form,publication,digital.source.idno,author.continent,authorText.group,authorText.subgroup,protagonist.name,protagonist.age,protagonist.socLevel,protagonist.profession,representation,setting.continent,setting.country,setting.settlement,setting.territory,text.movement,time.period,time.span,authorText.relation,end,time.year,keywords.cert,author.movement,author.submovement,author.date.birth,author.date.death,litHist.literaryQuality,litHist.brow,litHist.audience,author.litHist.pages,author.nonNovelGenre,litHist.pages,author.year.change,setting.settlement.represented.exist,setting.represented,MdLE,CoNSSA,CoNSSA.canon,HdLE,subgenre.lithist.MdLE,subgenre.lithist.HdLE,subgenre.edit.epublibre,subgenre.edit.amazon,subgenre.edit.wikidata,subgenre.edit.esdbpedia,subgenre.subtitle.bne,subgenre.subtitle.first.edition,subgenre.cluster,am.tokens,am.chars,am.divs,am.verses,am.sps,am.paragraphs,am.pds,am.numerals,am.puncts,am.blocks,am.chapters,am.shortStories,am.parts,am.sections,am.divisions,am.lg.poems,am.lg.stanzas,am.saids,am.narrative.ps,am.punctual.ss,len.abstract,am.fts,len.chapters.mean,len.chapters.std,len.chapters.median,len.chapters.iqr,am.conjunctions,am.determiners,am.nouns,am.verbs,am.adverbs,am.adjectives,am.adpositions,am.punctuations,am.pronouns,am.dates,am.numbers,am.interjections,am.ne.persons,am.ne.organizations,am.ne.locations,am.ne.others,am.ss,len.ss.mean,len.ss.std,len.ss.median,len.ss.iqr,am.ss.active.verbs.mean,am.ss.active.verbs.std,am.ss.active.verbs.median,am.ss.active.verbs.iqr,am.ws,am.ws.num.mean,am.ws.num.std,am.ws.num.median,am.ws.num.iqr,am.wnlex.noun.plants,am.wnlex.verb.communications,am.wnlex.noun.foods,am.wnlex.verb.possessions,am.wnlex.verb.cognitions,am.wnlex.noun.communications,am.wnlex.noun.states,am.wnlex.verb.statives,am.wnlex.noun.cognitions,am.wnlex.noun.times,am.wnlex.verb.bodys,am.wnlex.noun.persons,am.wnlex.adj.alls,am.wnlex.noun.quantitys,am.wnlex.noun.phenomenons,am.wnlex.verb.creations,am.wnlex.adj.perts,am.wnlex.adv.alls,am.wnlex.noun.processs,am.wnlex.noun.artifacts,am.wnlex.verb.perceptions,am.wnlex.noun.feelings,am.wnlex.verb.weathers,am.wnlex.noun.substances,am.wnlex.noun.shapes,am.wnlex.verb.competitions,am.wnlex.verb.motions,am.wnlex.noun.animals,am.wnlex.noun.acts,am.wnlex.noun.bodys,am.wnlex.noun.objects,am.wnlex.noun.motives,am.wnlex.verb.socials,am.wnlex.noun.groups,am.wnlex.verb.consumptions,am.wnlex.noun.possessions,am.wnlex.noun.Topss,am.wnlex.noun.relations,am.wnlex.noun.attributes,am.wnlex.verb.emotions,am.wnlex.noun.locations,am.wnlex.noun.events,am.wnlex.verb.contacts,am.wnlex.xxxs,am.wnlex.verb.changes,decade
ne0001,ne0001,Baroja,Mayorazgo,1903,narrative,novela,realist,Spain,36912891,XX842743,male,El mayorazgo de Labraz,176811327,,Pío Baroja,Tierra vasca - 2,restricted,"naturalist,sentimental,social,realist",novela,,2015-07-28,#epublibre,epub,,homodiegetic,male,rural,prose,book,17762,Europe,Tierra vasca,,Juan de Labraz,mature,high,lord,realistic,Europe,Spain,Labraz,País Vasco,social-realista,contemporary,365,none,positive,18??,high,modernism,3-modernista,1872,1956,low,,,117,essay,2.0,1912,True,Labraz,True,True,False,False,,,"Aventuras, Drama","Ficción contemporánea; Ficción clásica; Literatura y ficción, Literatura y ficción;",,,,,,53577,309048,41,71,0,2354,1242,3,10857,2469,31,0,5,3,0,17,8,1415,1112,3440,1227,3,9986.26,2823.84,9384.00,3514.00,3374,8737,11970,9553,2502,2642,7481,10434,4529,34,281,101,1167,278,299,115,2057,146.64,112.60,121.00,114.00,2.90,2.55,2.00,3.00,61638,,,,,95,1133,132,262,532,581,251,2141,418,414,484,1569,2012,47,156,387,36,814,59,1679,535,166,79,155,32,100,1042,204,489,456,350,6,453,382,98,36,121,13,483,200,312,177,518,41371,655,1900
ne0002,ne0002,Galdos,Misericordia,1889,narrative,novela,realist,Spain,71395987,XX1014802,male,Misericordia,184697459,XX3384019,Benito Pérez Galdós,,free,"naturalist,social,realist",novela,,2015-05-05,#bvmc,html,,heterodiegetic,female,big-city,prose,book,,Europe,Novelas contemporáneas,Novelas contemporáneas espiritualistas,Benina,adult,low,beggar,realistic,Europe,Spain,Madrid,Castilla,naturalista,contemporary,90,none,negative,,medium,realism,realista,1843,1920,medium,,,181,theatre,6.0,1889,True,Madrid,True,True,True,True,novela de tesis,,Realista,"Ficción clásica, Bibliotecas, Libros escolares; Antigua y clásica, Ficción clásica; Ficción clásica, Ficción histórica, Ficción por género; Clásicos, Fantasía y terror, Infantil; Europa, Europeas, Clásicos; Ficción clásica, Ficción clásica; Ficción clásica; Ficción, Europea, Antologías",,,,,,83791,477192,42,0,0,1498,1104,33,19914,1539,41,0,0,0,0,0,0,1292,394,4548,238,0,11873.37,1704.10,11530.00,2342.00,6988,11786,18001,15693,4874,4547,11941,17170,9823,47,504,211,1772,389,587,143,2748,179.40,135.04,152.00,160.25,2.93,2.52,2.00,3.00,101585,,,,,78,1569,246,833,1086,894,528,3728,816,717,638,2160,3226,176,115,651,98,1588,38,1845,571,311,39,197,45,114,1163,238,1042,667,290,37,989,467,320,343,239,39,821,314,336,355,684,70169,764,1880
ne0003,ne0003,Galdos,Nazarin,1895,narrative,novela,realist,Spain,71395987,XX1014802,male,Nazarín,191653777,XX2127936,Benito Pérez Galdós,,free,"naturalist,social,spiritual,realist",novela,,2015-05-05,#bvmc,html,,homodiegetic,male,mixed,prose,book,,Europe,Novelas contemporáneas,Novelas contemporáneas espiritualistas: Ciclo Nazarín,Nazario Zaharín (Nazarín),adult,low,religious,realistic,Europe,Spain,mixed,Castilla,naturalista,contemporary,90,none,positive,,high,realism,realista,1843,1920,low,low,,181,theatre,2.0,1889,True,Castilla,True,True,True,True,novela espiritualista,,Drama,"Ficción, Europea, Antologías; Ficción clásica; Ficción contemporánea;",,,,,,64733,366789,41,0,0,1160,851,3,14729,1200,35,0,5,0,0,0,0,1017,309,3645,2761,0,10697.03,2052.57,10806.00,1792.50,6072,9326,13087,12174,4014,3625,8816,13166,7903,15,310,210,956,250,292,92,2408,157.14,129.01,131.00,144.25,2.82,2.59,2.00,3.00,78718,,,,,59,1195,166,452,813,675,385,2857,731,400,563,1655,2421,74,109,463,112,1272,76,1157,592,269,48,136,30,114,1016,233,844,516,254,20,776,432,237,75,253,17,725,396,301,327,498,54401,572,1890
ne0004,ne0004,Galdos,Halma,1895,narrative,novela,realist,Spain,71395987,XX1014802,male,Halma,313945847,XX2127921,Benito Pérez Galdós,,free,"sentimental,social,spiritual,realist",novela,,2015-05-05,#bvmc,html,,homodiegetic,mixed,big-city,prose,book,,Europe,Novelas contemporáneas,Novelas contemporáneas espiritualistas: Ciclo Nazarín,Catalina de Halma-Lautenberg,adult,high,lord,realistic,Europe,Spain,Madrid,Castilla,realista,contemporary,365,none,positive,,medium,realism,realista,1843,1920,medium,,,181,theatre,1.0,1889,True,Madrid,True,True,True,True,novela espiritual,,"Drama, Realista","Siglo XIX, Antigua y clásica; Ficción clásica; Antologías;",,,,,,73351,425205,45,0,0,1272,978,7,16920,1316,39,0,5,0,0,0,0,1199,294,4035,1610,0,11106.97,2564.77,10849.00,2614.00,6088,10855,15241,13521,4435,4726,10123,15246,8200,12,331,241,1515,304,459,131,2711,161.87,128.61,133.00,145.00,2.64,2.23,2.00,2.00,89019,,,,,36,1594,126,579,1054,918,543,3316,1163,436,542,2287,3311,44,119,574,214,1393,33,1051,425,286,28,128,25,105,921,101,1228,367,222,37,903,512,236,176,288,24,1061,424,282,248,450,60648,553,1890
ne0005,ne0005,Galdos,Tristana,1892,narrative,novela,bildungsroman,Spain,71395987 ,XX1014802,male,Tristana,181806159,XX2127967,Benito Pérez Galdós,,free,"naturalist,realist,sentimental,social,spiritual,bildungsroman",novela,,2015-05-12,#bvmc,html,,heterodiegetic,female,big-city,prose,book,,Europe,Novelas contemporáneas,Novelas contemporáneas espiritualistas,Tristana Reluz,young,low,housewife,realistic,Europe,Spain,Madrid,Castilla,realista,contemporary,1800,none,partial positive,,medium,realism,realista,1843,1920,,,,181,theatre,2.0,1889,True,Madrid,True,True,False,False,novela espiritual,,Realista,"Ficción clásica, Ficción contemporánea; Ficción clásica ; Ficción clásica, Historia, Ficción clásica; Ficción clásica; Familia, Ficción, Libros escolares; Historia, teoría literaria y crítica",,realismo,,,,52563,301038,30,0,0,556,299,4,11962,585,29,0,0,0,0,0,0,357,257,2958,1149,0,10522.14,2287.70,11012.00,2984.00,4534,7424,10643,9988,3569,3401,7198,10344,6194,26,195,149,788,86,229,76,2281,135.98,108.52,107.00,133.00,2.40,1.94,2.00,2.00,63665,,,,,53,905,93,348,938,601,436,2312,797,432,437,1236,2386,42,99,406,91,1158,22,861,334,323,32,100,22,96,608,138,716,417,147,32,615,242,137,60,191,17,705,456,174,229,415,43359,446,1890
ne0006,ne0006,Galdos,Angel,1891,narrative,novela,bildungsroman,Spain,71395987,XX1014802,male,Ángel Guerra,218157733,XX2127828,Benito Pérez Galdós,,free,"naturalist,realist,sentimental,social,spiritual,bildungsroman",novela,,2015-05-12,#bvmc,html,,heterodiegetic,male,small-city,prose,book,,Europe,Novelas contemporáneas,Novelas contemporáneas espiritualistas,Ángel Guerra,young,medium,lord,realistic,Europe,Spain,Toledo,Castilla,realista,contemporary,1825,none,negative,,medium,realism,realista,1843,1920,medium,,,181,theatre,4.0,1889,True,Toledo,True,True,True,True,novela espiritual,,Realista,"Ficción clásica; Europea, Antologías",,,,,,248565,1418827,153,0,285,3036,1736,47,50823,3818,127,0,20,2,3,0,0,2131,1300,12738,1582,0,11418.16,2669.90,10969.00,3714.00,20485,35510,51745,45368,14500,13309,34906,45212,27794,84,998,583,5021,1041,1504,507,9540,149.77,114.36,126.00,139.00,2.51,2.09,2.00,2.00,290494,,,,,210,4210,738,1680,3059,2785,1564,10852,3037,1646,2010,6321,9124,243,383,1836,435,4865,79,5137,1885,1064,153,553,154,341,3502,590,3893,1934,811,107,2875,1500,738,448,841,98,2867,1334,920,1237,1974,198080,2378,1890
ne0007,ne0007,Sawa,MujerMundo,1885,narrative,novela,erotic,Spain,59126336,XX1137561,male,La mujer de todo el mundo,,,Alejandro Sawa,,free,"naturalist,realist,social,erotic",novela,,2015-10-21,#bvmc,html,,heterodiegetic,female,big-city,prose,book,,Europe,,,condesa de Zarzal,mature,high,lord,realistic,Europe,Spain,Z,Castilla,modernista,contemporary,365,none,negative,1883,high,modernism,1-modernista,1862,1909,,,,8,short-stories,0.5,0,True,Madrid,True,True,False,True,novela naturalista,novela naturalista,Drama,"Ficción clásica ; Europea, Teatro ; Romántica, Romántica, Literatura y ficción",,,,,,38217,222986,24,22,0,591,336,7,8517,633,17,0,0,6,0,3,0,388,255,1630,1312,6,13321.12,5663.39,13420.00,7613.00,2718,6322,8208,6641,2246,2326,6064,7350,3860,20,159,111,345,144,144,88,1081,212.62,262.11,125.00,204.00,2.87,3.17,2.00,3.00,46025,,,,,64,523,36,237,427,545,323,1740,484,322,262,1089,1624,23,93,326,92,769,15,649,288,232,21,76,36,64,467,111,550,432,169,15,368,265,68,58,129,16,566,254,194,219,294,31157,331,1880
ne0008,ne0008,Zamacois,Enferma,1896,narrative,novela,erotic,Spain,51728159,XX1137688,male,La enferma,,XX2930010,Eduardo Zamacois,Novela,free,"realist,social,erotic",novela,,2015-10-21,#gutenberg,html,novela,heterodiegetic,female,big-city,prose,book,48302,Europe,,,Alfonso Sandoval,adult,medium,?,realistic,Europe,Spain,Madrid,Castilla,modernista,contemporary,150,low,negative,,low,modernism,3-modernista,1873,1971,,,,3,theatre,0.2,0,True,Madrid,True,True,False,False,novela erótica,,,Ficción clásica;,,,"novela, novela original",,,61667,370595,10,0,0,1619,895,3,14128,1629,8,0,0,0,0,0,0,1169,724,2748,3,0,47264.25,16540.20,44502.50,10429.75,4738,9702,13022,12517,3772,3509,8303,12170,6669,28,208,176,993,188,197,25,1248,306.38,256.76,241.00,251.25,5.61,5.56,4.00,5.00,74814,,,,,42,1076,86,435,818,694,563,2506,1009,453,610,1260,2455,51,220,457,113,1306,34,1169,580,406,64,153,50,104,988,154,1109,1030,238,34,749,191,121,41,219,17,743,626,205,325,694,49870,746,1890
ne0009,ne0009,Galdos,Desheredada,1881,narrative,novela,bildungsroman,Spain,71395987 ,XX1014802,male,La desheredada,184296174,XX3383772,Benito Pérez Galdós,,free,"naturalist,realist,sentimental,social,bildungsroman",novela,,2015-04-21,#bvmc,html,,heterodiegetic,female,big-city,prose,book,,Europe,novelas contemporáneas,,Isidora Rufete,young,low,none,realistic,Europe,Spain,Madrid,Castilla,naturalista,contemporary,1825,none,negative,,medium,realism,realista,1843,1920,medium,,,181,theatre,5.0,1889,True,Madrid,True,True,True,True,novela naturalista,novela realista,Drama,"Ficción clásica; Ficción clásica, Ficción histórica, Ficción por género; Antologías; Literatura y ficción; Historias cortas, Cuentos, Historias cortas; Historias cortas, Cuentos, Historias cortas; Historias cortas, Cuentos, Historias cortas ; Romántica, Romántica, Literatura y ficción",,,,,,140959,820902,93,17,211,2672,1437,79,33991,2999,15,0,71,4,2,4,0,1838,1235,9309,1827,0,12051.20,3862.29,11527.00,4829.50,10022,21430,31779,26708,7989,8305,19564,30266,14257,80,764,400,2770,826,852,343,6909,121.57,102.09,96.00,116.00,2.14,1.90,2.00,2.00,171564,,,,,166,2563,242,1092,1559,1879,1032,6824,1786,1071,1313,3628,5987,202,251,1133,210,2899,77,3487,1300,672,75,431,96,246,2195,445,2005,1187,463,44,1512,953,509,428,494,43,1813,780,608,689,1169,114674,1331,1880
ne0010,ne0010,Aparicio,Vicario,1905,narrative,novela,philosophical,Spain,4959739,XX950311,male,El Vicario,,XX2391901,Manuel Ciges Aparicio,Novela,free,"social,philosophical",novela,,2018-01-31,#abbyy,html,novela,heterodiegetic,male,rural,prose,book,,Europe,,,Iñigo Interián,adult,medium,religious,realistic,Europe,Spain,?,Comunidad valenciana,,contemporary,365,low,negative,18??,medium,modernism,3-modernista,1873,1936,high,,,4,essay,0.5,0,True,Comunidad valenciana,True,True,False,True,,,,Historia;,,,novela,novela,,41609,253526,22,0,0,936,507,6,8183,957,20,0,0,0,0,0,0,524,429,2292,919,0,12911.55,3624.54,11824.00,3547.75,2836,6846,9372,8314,2068,3951,4976,7005,3420,8,153,55,682,159,70,95,1289,201.56,178.45,154.00,159.00,3.38,3.24,3.00,3.00,49004,,,,,35,774,38,314,462,631,309,1546,587,335,249,1237,2482,26,98,310,86,672,54,684,309,282,58,78,29,114,578,74,624,436,242,15,529,469,70,78,188,10,511,248,197,214,366,31835,520,1900
