,idno,author.name,title,year,supergenre,genre,subgenre.cligs.important,author.country,author.viaf,author.bne,author.gender,title.main,title.viaf,title.bne,author.name.full,subtitle,availability,subgenre.cligs,genre.analyzed,genre.analyzed.cert,date.file,digital.source,digital.source.format,genre.subtitle,narrator,protagonist.gender,setting.type,form,publication,digital.source.idno,author.continent,authorText.group,authorText.subgroup,protagonist.name,protagonist.age,protagonist.socLevel,protagonist.profession,representation,setting.continent,setting.country,setting.settlement,setting.territory,text.movement,time.period,time.span,authorText.relation,end,time.year,keywords.cert,author.movement,author.submovement,author.date.birth,author.date.death,litHist.literaryQuality,litHist.brow,litHist.audience,author.litHist.pages,author.nonNovelGenre,litHist.pages,author.year.change,setting.settlement.represented.exist,setting.represented,MdLE,CoNSSA,CoNSSA.canon,HdLE,subgenre.lithist.MdLE,subgenre.lithist.HdLE,subgenre.edit.epublibre,subgenre.edit.amazon,subgenre.edit.wikidata,subgenre.edit.esdbpedia,subgenre.subtitle.bne,subgenre.subtitle.first.edition,subgenre.cluster,am.tokens,am.chars,am.divs,am.verses,am.sps,am.paragraphs,am.pds,am.numerals,am.puncts,am.blocks,am.chapters,am.shortStories,am.parts,am.sections,am.divisions,am.lg.poems,am.lg.stanzas,am.saids,am.narrative.ps,am.punctual.ss,len.abstract,am.fts,len.chapters.mean,len.chapters.std,len.chapters.median,len.chapters.iqr,am.conjunctions,am.determiners,am.nouns,am.verbs,am.adverbs,am.adjectives,am.adpositions,am.punctuations,am.pronouns,am.dates,am.numbers,am.interjections,am.ne.persons,am.ne.organizations,am.ne.locations,am.ne.others,am.ss,len.ss.mean,len.ss.std,len.ss.median,len.ss.iqr,am.ss.active.verbs.mean,am.ss.active.verbs.std,am.ss.active.verbs.median,am.ss.active.verbs.iqr,am.ws,am.ws.num.mean,am.ws.num.std,am.ws.num.median,am.ws.num.iqr,am.wnlex.noun.plants,am.wnlex.verb.communications,am.wnlex.noun.foods,am.wnlex.verb.possessions,am.wnlex.verb.cognitions,am.wnlex.noun.communications,am.wnlex.noun.states,am.wnlex.verb.statives,am.wnlex.noun.cognitions,am.wnlex.noun.times,am.wnlex.verb.bodys,am.wnlex.noun.persons,am.wnlex.adj.alls,am.wnlex.noun.quantitys,am.wnlex.noun.phenomenons,am.wnlex.verb.creations,am.wnlex.adj.perts,am.wnlex.adv.alls,am.wnlex.noun.processs,am.wnlex.noun.artifacts,am.wnlex.verb.perceptions,am.wnlex.noun.feelings,am.wnlex.verb.weathers,am.wnlex.noun.substances,am.wnlex.noun.shapes,am.wnlex.verb.competitions,am.wnlex.verb.motions,am.wnlex.noun.animals,am.wnlex.noun.acts,am.wnlex.noun.bodys,am.wnlex.noun.objects,am.wnlex.noun.motives,am.wnlex.verb.socials,am.wnlex.noun.groups,am.wnlex.verb.consumptions,am.wnlex.noun.possessions,am.wnlex.noun.Topss,am.wnlex.noun.relations,am.wnlex.noun.attributes,am.wnlex.verb.emotions,am.wnlex.noun.locations,am.wnlex.noun.events,am.wnlex.verb.contacts,am.wnlex.xxxs,am.wnlex.verb.changes,decade
ne0090,ne0090,Jarnes,VivianaMerlin,1929,narrative,novela,philosophical,Spain,17339452,XX1126572,male,Viviana y Merlín,,bimo0001041989,Benjamín Jarnés,Leyenda,restricted,"fantastic,sentimental,philosophical",novela,,2018-01-30,#abbyy,html,Leyenda,homodiegetic,male,rural,prose,book,,Europe,,,Merlín,adult,medium,wizard,non-realistic,Europe,France,Tintagil,?,,middle_ages,365,none,positive,14??,low,avantgarde,vanguardista,1888,1949,,,,16,essay,0.2,0,False,France,True,True,False,True,género intermedio,,,Ficción clásica;,,,leyenda,leyenda,bucólica,59186,355902,21,17,0,1083,457,323,12185,1121,14,0,0,0,0,2,0,493,626,3231,708,0,13693.79,3504.63,14509.00,2874.25,1596,5617,7968,5791,1526,2224,4762,6661,2577,10,105,28,630,259,349,56,2003,96.17,71.74,79.00,79.50,1.65,1.30,1.00,1.00,38865,,,,,130,358,112,176,403,446,217,1105,379,258,227,1290,1452,26,99,288,62,631,17,651,246,144,64,117,44,67,572,134,333,460,276,8,379,136,60,22,30,7,338,248,148,123,332,25814,435,1920
ne0091,ne0091,Jarnes,EufrosinaGracia,1938,narrative,novela,dialogue,Spain,17339452,XX1126572,male,Eufrosina o la gracia,,XX2567127,Benjamín Jarnés,,restricted,"philosophical,dialogue",novela,,2018-01-30,#abbyy,html,,dialogue,female,big-city,dialogue,book,,Europe,,,Eufrosina,adult,medium,?,realistic,Europe,Spain,Madrid,Castilla,,contemporary,1,none,positive,19??,medium,avantgarde,vanguardista,1888,1949,,,,16,essay,0.2,0,True,Madrid,True,True,False,False,género intermedio,,,,,,,,bucólica,39668,237800,21,0,687,849,1,6,7824,1554,16,0,0,0,0,0,0,1,848,2611,724,0,15175.50,4347.72,16468.50,5535.50,2009,6753,9564,6475,2243,3202,5836,7247,3004,85,124,13,660,476,197,131,2702,89.40,69.32,71.00,77.00,1.33,1.14,1.00,1.00,46555,,,,,78,478,62,271,509,1142,266,1702,660,247,190,1037,2242,28,99,293,177,787,16,570,201,172,24,85,36,74,535,103,464,244,250,13,521,307,57,45,136,25,846,183,162,231,308,30331,344,1930
ne0092,ne0092,Madariaga,JirafaSagrada,1925,narrative,novela,comedy,Spain,27077829,XX994470,male,La jirafa sagrada,,XX2622650,Salvador Madariaga,"el búho de plata. Novela, casi una fantasía",restricted,"comedy,fantastic,political-fiction",novela,,2018-01-12,#abbyy,html,novela,heterodiegetic,male,big-city,prose,book,,Europe,Las novelas de Julio Arceval,,M'Zama,adult,medium,housewife,non-realistic,Africa,Ebania,Eban,Eban,,future,365,low,neutral,6922,high,avantgarde,vanguardista,1886,1978,medium,,,25,essay,0.5,0,False,Africa,True,True,False,True,novela fantástica,novela fantástica,,,,,novela,,,74552,433047,31,58,0,1346,889,25,12816,1447,16,0,0,6,0,13,0,930,457,4207,703,6,26950.88,7069.41,25394.50,11265.75,5113,11884,16575,12202,3959,4810,10651,11636,5864,16,418,128,1230,594,468,293,3211,134.32,128.06,103.00,128.00,2.01,2.05,2.00,2.00,83256,,,,,72,1203,74,599,1006,1203,601,3688,1542,552,412,1648,3604,73,169,634,205,1457,70,1087,426,280,49,234,51,97,904,151,1108,574,300,47,645,741,127,94,292,33,1044,254,426,323,399,54151,607,1920
ne0094,ne0094,Madariaga,EnemigoDios,1926,narrative,novela,philosophical,Spain,27077829,XX994470,male,El enemigo de Dios,,,Salvador Madariaga,,restricted,"sentimental,philosophical",novela,,2018-01-12,#abbyy,html,,heterodiegetic,male,big-city,prose,book,,Europe,otras novelas,,Morabito,adult,high,bussines owner,realistic,Europe,Spain,Madrid,Castilla,,contemporary,730,low,partial negative,19??,medium,avantgarde,vanguardista,1886,1978,low,,,25,essay,0.5,0,True,Madrid,True,True,False,True,novela de tesis,,,,,,,,,65241,362896,20,10,0,1562,1206,13,16020,1588,14,0,0,3,0,7,0,1280,356,5304,1607,3,26222.86,9373.29,29109.50,14201.75,5348,9190,13295,12915,4188,3227,8421,14445,7801,24,276,326,1352,161,202,97,3484,106.43,130.72,69.00,104.00,2.07,2.57,1.00,2.00,79456,,,,,71,1100,137,354,953,705,521,3452,827,473,655,1579,2491,35,360,611,64,1538,26,1411,650,383,87,148,71,68,1198,159,738,803,322,42,569,212,228,67,247,11,871,373,234,340,582,53069,621,1920
ne0095,ne0095,Maeztu,GuerraTransvaal,1901,narrative,novela,historical,Spain,34495436,XX1003714,male,La guerra del Transvaal y los misterios de la Banca de Londres,,XX2804205,Ramiro de Maeztu,,free,"adventure,philosophical,sentimental,historical",novela,,2018-01-16,#abbyy,html,,heterodiegetic,male,big-city,prose,book,,Europe,,,Alejandro Liebeck,adult,medium,military personnel,realistic,Africa,South Africa,Johannesburgo,Johannesburgo,,contemporary,1825,low,neutral,1895,medium,modernism,3-modernista,1874,1936,,,,21,essay,0.5,0,True,Johannesburgo,True,True,False,True,,,," Literatura y ficción, Literatura y ficción",,,,,,185653,1106083,85,3,0,9600,4026,263,40254,9717,50,0,7,16,3,3,0,4301,5574,13064,971,16,22788.08,5809.89,23355.00,7462.00,12565,28239,40338,33148,9282,8351,26930,35815,17629,107,1359,335,5350,1184,1745,414,7329,149.29,150.96,107.00,122.00,2.34,2.52,2.00,2.00,214098,,,,,110,3540,156,1721,2377,2954,1097,8340,1786,1055,1068,5681,5878,262,338,1449,541,2914,74,3847,1157,664,88,401,94,361,2670,311,2709,1434,672,65,2366,1526,429,379,510,52,1645,603,1338,810,1305,145622,1697,1900
ne0097,ne0097,Foxa,MadridCorteCheca,1938,narrative,novela,historical,Spain,32035547,XX1019598,male,Madrid de corte a checa,211800897,XX2465701,Agustín de Foxá,,restricted,historical,novela,,2018-01-16,#epublibre,epub,,heterodiegetic,male,big-city,prose,book,5604,Europe,,,José Félix Carrillo,young,medium,?,realistic,Europe,Spain,Madrid,Castilla,,contemporary,2190,medium,positive,1931,medium,avantgarde,vanguardista,1906,1959,,,,4,theatre,0.5,0,True,Madrid,True,True,False,True,episodio nacional,,Histórico,"Ficción histórica, Juvenil, Ficción por género ; Ficción histórica, Ficción por género",,,,,,99892,595505,62,182,0,5130,2180,69,20806,5317,53,0,3,0,0,61,0,2292,2950,9339,2752,0,11721.11,7376.39,9624.00,9396.00,4874,17004,26822,16535,3068,5482,15888,20624,6648,119,442,137,2963,1090,1578,287,7096,84.55,62.32,69.00,70.00,1.41,1.00,1.00,1.00,117643,,,,,249,1443,473,570,642,1325,340,3565,551,749,713,3200,3716,117,205,711,380,1177,71,4269,980,292,212,583,117,245,1929,422,1028,1011,483,11,807,1058,230,55,144,23,774,414,571,402,1094,79225,1066,1930
ne0098,ne0098,Peman,MadridOviedo,1933,narrative,novela,comedy,Spain,111468365,XX969038,male,De Madrid a Oviedo pasando por las Azores,,XX2721616,José María Pemán,,restricted,"philosophical,comedy",novela,,2017-12-15,#abbyy,html,,heterodiegetic,male,mixed,prose,book,,Europe,,,Álvaro Palmares,adult,medium,military personnel,realistic,Europe,Spain,mixed,mixed,,contemporary,365,medium,neutral,1930,low,avantgarde,social-realista,1897,1981,,,,9,theatre,0.2,0,True,Spain,True,True,False,False,novela humorística,,,,,,,,,63596,379734,26,6,0,2708,1425,35,16729,2737,20,0,1,3,0,3,0,1569,1283,6113,278,3,19148.40,9040.79,19387.50,16314.75,3867,10074,14712,10894,3061,3865,8863,15380,5438,83,372,159,1281,487,596,190,4137,91.67,76.67,70.00,81.00,1.53,1.32,1.00,1.00,76768,,,,,53,1109,267,329,803,1034,340,3008,624,534,523,1878,2591,92,115,404,191,1176,22,1859,466,188,42,197,75,87,981,166,783,526,159,13,586,561,214,55,98,11,555,243,266,292,522,52129,601,1930
ne0099,ne0099,Peman,RomanceFantasma,1927,narrative,novela,sentimental,Spain,111468365,XX969038,male,Romance del fantasma y doña Juanita,,bimo0001290436,José María Pemán,novela,restricted,"modernist,social,sentimental",novela,,2017-12-15,#abbyy,html,novela,heterodiegetic,male,rural,prose,book,,Europe,,,Ramón Expósito (Tonny),adult,medium,artist,realistic,Europe,Spain,Villaclara,Castilla,,contemporary,,none,negative,19??,low,avantgarde,social-realista,1897,1981,,,,9,theatre,0.2,0,True,Villaclara,True,True,False,False,,,,,,,novela,,bucólica,24300,140748,15,4,0,534,161,20,4653,552,11,0,0,0,0,3,0,164,373,1650,554,0,12508.64,5789.24,11988.00,5110.00,1417,3869,5786,4275,1126,1375,3468,4370,1673,10,92,19,787,90,160,55,1302,105.97,115.40,87.00,73.00,1.53,1.96,1.00,1.00,27480,,,,,25,434,46,97,267,397,98,1346,258,232,165,507,1095,26,40,159,40,468,29,650,232,105,31,110,26,23,363,63,322,228,101,5,224,139,31,21,53,7,233,78,132,128,185,18007,254,1920
ne0101,ne0101,Bazan,Guzman,1900,narrative,novela,realist,Spain,51699645,XX1104029,female,El Niño de Guzmán,,,Emilia Pardo Bazán,,free,"sentimental,social,realist",novela,,2015-07-09,#bvmc,html,,heterodiegetic,male,big-city,prose,book,,Europe,superación del naturalismo,,Pedro Niño de Guzmán,adult,high,lord,realistic,Europe,Spain,Madrid,Castilla,modernista,contemporary,365,none,negative,,low,realism,naturalista,1851,1921,,,,45,short-stories,0.2,1888,True,Madrid,True,True,False,False,,,," Ficción clásica, Ficción clásica, Romántica",,,,,,31781,189065,14,4,0,402,248,5,7893,419,13,0,0,0,0,2,0,351,154,1840,277,0,14726.54,2206.51,15247.00,3932.00,2202,4914,7436,5684,1762,2169,4722,6679,2972,10,129,62,943,131,322,50,1216,160.47,134.52,128.00,152.25,2.59,2.08,2.00,2.00,38741,,,,,26,577,63,217,520,414,271,1231,479,205,212,825,1403,24,68,258,135,542,14,539,217,187,29,81,15,54,437,62,466,312,74,19,323,241,80,47,83,19,421,158,137,157,239,26557,303,1900
ne0102,ne0102,Bazan,Brujas,1899,narrative,novela,realist,Spain,51699645,XX1104029,female,El saludo de las brujas,,,Emilia Pardo Bazán,,free,"historical,political-fiction,realist",novela,,2015-07-09,#bvmc,html,,heterodiegetic,male,big-city,prose,book,,Europe,superación del naturalismo,,Felipe María Leonato,adult,high,lord,realistic,Europe,Dacia,Vlasta,Dacia,modernista,contemporary,365,none,negative,,low,realism,naturalista,1851,1921,low,,,45,short-stories,0.2,1888,True,Vlasta,True,True,False,False,,,," Ficción clásica; Antologías; Literatura y ficción, Literatura y ficción",,,,,,60014,354273,28,2,0,824,514,0,14678,853,25,0,2,0,0,1,0,713,310,3251,394,0,14361.76,3467.17,12368.00,6090.00,4354,9367,13864,11053,3347,3874,8882,12332,5533,10,203,88,1661,147,601,79,2104,173.52,151.81,133.00,164.25,2.80,2.45,2.00,3.00,72907,,,,,136,1165,77,493,932,867,518,2443,807,468,472,1559,2638,45,119,505,141,1078,41,1199,467,397,61,157,46,99,727,147,820,999,195,46,672,353,121,86,196,22,693,381,298,307,559,48775,580,1890
ne0103,ne0103,Bazan,Gaston,1897,narrative,novela,realist,Spain,51699645,XX1104029,female,El tesoro de Gastón,,,Emilia Pardo Bazán,,free,"sentimental,realist",novela,,2015-07-09,#bvmc,html,,heterodiegetic,male,rural,prose,book,,Europe,superación del naturalismo,,Gastón de Landray,adult,high,lord,realistic,Europe,Spain,unknown,Galicia,modernista,contemporary,90,none,positive,,low,realism,naturalista,1851,1921,low,,,45,short-stories,0.2,1888,True,unknown,True,True,False,False,,,,,,,,,,33316,193839,16,0,0,506,327,1,8193,521,15,0,0,0,0,0,0,458,179,1716,250,0,13104.33,2334.64,13230.00,1480.50,2625,4964,7468,6273,1945,1909,4880,6735,3334,14,146,48,797,129,177,35,1012,197.68,159.42,153.00,178.25,3.30,3.02,3.00,3.00,40341,,,,,61,599,76,318,468,365,188,1462,351,239,237,743,1362,22,76,267,49,667,14,907,253,142,33,135,36,31,497,110,427,290,184,17,396,173,74,129,97,17,344,176,151,159,306,27320,372,1890
ne0104,ne0104,Cansinos,MovimientoVP,1921,narrative,novela,comedy,Spain,29547307,XX875186,male,El movimiento V. P.,,,Rafael Cansinos-Asséns,Novela,restricted,"historical,memoir,symbolic,comedy",novela,,2017-12-15,#abbyy,html,,heterodiegetic,male,big-city,prose,book,,Europe,,,Poeta Maldito,adult,medium,writer,realistic,Europe,Spain,Madrid,Madrid,,contemporary,,high,?,191?,low,avantgarde,4-modernista,1883,1964,high,,,6,essay,0.2,0,True,Madrid,True,True,False,True,,novela satírica,,Ficción contemporánea,,,,,bucólica,62727,375112,48,17,0,994,591,29,11527,1073,30,0,0,13,0,2,0,806,403,3645,261,13,11838.60,5625.37,11114.00,3949.50,4032,10758,13146,9692,3078,4706,7712,10075,4727,16,168,192,839,482,224,178,2713,131.79,117.70,98.00,112.00,1.98,1.79,2.00,2.00,68308,,,,,103,1028,105,280,600,1313,370,2824,640,648,424,1909,3029,39,79,555,270,1315,14,1096,387,201,29,115,39,80,436,255,695,469,207,30,640,398,114,53,164,62,672,219,246,222,350,45094,490,1920
ne0106,ne0106,Bazan,Fada,1916,narrative,novela,bildungsroman,Spain,51699645,XX1104029,female,La última fada,,,Emilia Pardo Bazán,,free,"adventure,fantastic,historical,memoir,sentimental,bildungsroman",novela,,2015-07-09,#bvmc,html,,heterodiegetic,male,rural,prose,book,,Europe,,,Isayo de Leonís,child,high,lord,non-realistic,Europe,France,mixed,Bretaña,modernista,middle_ages,7300,none,negative,,high,realism,naturalista,1851,1921,low,,,45,short-stories,0.2,1888,True,Bretaña,True,True,False,False,novela corta,,Fantástico,Ficción contemporánea,,,,,bucólica,14964,85712,9,0,0,210,96,0,2785,218,8,0,0,0,0,0,0,154,114,679,2001,0,10847.12,4756.38,9588.00,2790.00,1189,2451,3645,2786,704,852,2257,2706,1257,1,34,19,324,125,135,24,556,158.83,122.41,134.50,127.75,2.66,2.16,2.00,2.25,17901,,,,,41,255,41,109,150,168,79,615,118,106,92,571,579,11,43,130,13,231,13,280,119,58,10,34,22,46,231,52,170,211,103,1,203,117,12,8,31,3,143,89,88,81,195,12085,144,1910
ne0107,ne0107,Bazan,Misterio,1902,narrative,novela,historical,Spain,51699645,XX1104029,female,Misterio,309288587,XX2710644,Emilia Pardo Bazán,,free,"political-fiction,sentimental,historical",novela,,2015-07-09,#bvmc,html,,heterodiegetic,male,big-city,prose,book,,Europe,superación del naturalismo,,Luis XVII,adult,high,lord,realistic,Europe,France,París,Isla de Francia,modernista,contemporary,90,none,negative,,low,realism,naturalista,1851,1921,low,,,45,short-stories,0.2,1888,True,París,True,True,False,False,,,Histórico,,,,,,,107339,635157,56,4,0,1728,990,33,24078,1787,49,0,6,0,0,1,0,1435,738,6331,289,0,13194.37,2083.95,13130.00,3227.00,6818,17406,24444,20940,5431,6329,15889,21893,10992,31,342,235,2017,679,754,141,4770,137.18,116.97,107.00,130.00,2.34,2.03,2.00,2.00,130750,,,,,129,2130,180,882,1402,1445,867,4633,1252,689,785,3178,4313,53,233,845,200,1764,78,2496,792,544,92,338,71,237,1590,253,1512,1291,395,57,1405,692,194,129,306,17,1285,556,499,595,1262,87907,1176,1900
ne0108,ne0108,Baroja,Susana,1938,narrative,novela,realist,Spain,36912891,XX842743,male,Susana,308620434,XX1879832,Pío Baroja,y los cazadores de moscas,restricted,"historical,memoir,sentimental,realist",novela,,2015-07-28,#epublibre,epub,,autodiegetic,male,big-city,prose,book,16911,Europe,,,Miguel Salazar,adult,medium,doctor,realistic,Europe,France,París,Isla de Francia,modernista,contemporary,720,low,negative,,high,modernism,3-modernista,1872,1956,,,,117,essay,0.2,1912,True,París,True,True,False,False,novela suelta,,Psicológico,"Ficción contemporánea; Literatura y ficción, Literatura y ficción",,,,,,32315,184518,30,28,0,1295,830,5,7090,1352,29,0,0,0,0,6,0,926,465,2319,1944,0,6599.07,3935.68,6459.00,6696.00,2394,4883,6986,5899,1896,1888,4609,7047,3577,28,160,55,538,153,374,97,1485,127.67,95.12,104.00,112.00,2.56,2.26,2.00,2.00,39422,,,,,57,749,69,184,563,450,138,1645,351,307,359,913,1362,23,94,250,172,708,4,1019,206,129,22,99,19,40,528,88,316,108,113,11,279,214,80,48,76,14,248,133,267,147,167,26368,285,1930
ne0109,ne0109,Baroja,Aizgorri,1900,narrative,novela,dialogue,Spain,36912891,XX842743,male,La casa de Aizgorri,176003192,XX1879776,Pío Baroja,,restricted,"naturalist,realist,sentimental,social,dialogue",novela,,2016-03-16,#epublibre,epub,,dialogue,female,rural,dialogue,book,17874,Europe,Tierra Vasca,,Águeda de Aizgorri,adult,high,business owner,realistic,Europe,Spain,Arbea,País Vasco,social-realista,contemporary,365,none,positive,18??,medium,modernism,3-modernista,1872,1956,medium,,,117,essay,1.0,1912,True,Arbea,True,True,True,True,novela dialogada,novela dialogada,Drama,"Ficción contemporánea; Literatura y ficción, Literatura y ficción; Ficción clásica;",,,novela en siete jornadas,,"mono-diálogo,bucólica",22852,136231,9,6,1231,1339,2,2,7749,2959,8,0,0,0,0,1,0,2,1337,2302,739,0,20840.00,8662.95,21633.50,6698.50,1510,2983,5836,4311,1400,985,2808,7746,2540,2,112,208,899,126,99,957,3356,40.26,54.23,19.00,39.00,0.76,1.17,0.00,1.00,30441,,,,,48,311,51,134,262,232,77,1069,191,165,229,524,759,21,75,190,14,454,15,739,308,42,33,111,8,46,475,77,199,156,92,7,199,118,77,37,44,2,202,92,83,86,217,21866,303,1900
ne0110,ne0110,Baroja,Amores,1927,narrative,novela,sentimental,Spain,36912891,XX842743,male,Los amores tardíos,182876966,,Pío Baroja,Agonías de nuestro tiempo,restricted,"historical,memoir,philosophical,realist,sentimental",novela,,2016-03-07,#epublibre,epub,,heterodiegetic,male,big-city,prose,book,18401,Europe,El Gran Torbellino del mundo,,José Larrañaga,adult,medium,?,realistic,Europe,Netherlands,Rotterdam,Holanda,modernista,contemporary,90,high,negative,192?,low,modernism,3-modernista,1872,1956,,,,117,essay,0.5,1912,True,Rotterdam,True,True,False,True,,,"Aventuras, Drama",,,,,,,31541,182740,27,21,0,1414,832,0,7314,1462,21,0,3,1,0,7,0,948,582,2400,506,1,9087.48,4298.85,9080.00,6891.00,2349,4609,6703,6090,2046,2028,4209,7219,3222,16,103,41,751,70,306,29,1490,124.75,93.30,100.00,107.00,2.50,2.09,2.00,2.00,38635,,,,,304,625,62,177,616,340,250,1830,470,223,367,751,1513,30,98,265,123,710,18,694,223,224,26,110,14,43,443,46,297,130,134,13,254,192,111,42,76,15,460,199,158,147,201,25352,259,1920
ne0111,ne0111,Baroja,Ansi,1912,narrative,novela,bildungsroman,Spain,36912891,XX842743,male,El mundo es ansí,177214402,XX1879819,Pío Baroja,,restricted,"philosophical,realist,sentimental,social,bildungsroman",novela,,2016-03-16,#epublibre,epub,,mixed,female,mixed,prose,book,1479,Europe,Las ciudades,,Sacha Savarof,young,high,none,realistic,Europe,mixed,mixed,mixed,modernista,contemporary,3650,none,negative,1905,high,modernism,3-modernista,1872,1956,medium,,,117,essay,2.0,1912,True,Europe,True,True,True,True,,,"Drama, Romántico","Ficción clásica, Ficción histórica, Ficción por género; Ficción clásica, Ficción por género, Ficción contemporánea; Literaria, Ficción por género, Ficción contemporánea",,,,,,45069,259129,70,11,0,1597,518,9,7625,1667,54,0,4,11,0,4,0,600,1079,2719,1268,11,5009.43,2619.46,4610.00,3911.75,3162,7142,10055,8368,2352,2882,6692,7546,4142,24,194,58,896,194,629,72,2120,123.88,87.55,102.00,97.00,2.25,1.89,2.00,2.00,52617,,,,,64,923,139,254,654,596,234,2420,680,339,452,1310,2049,29,110,363,234,817,15,1129,319,216,51,96,26,67,683,86,515,172,302,16,404,391,115,62,94,14,515,258,350,196,265,34209,384,1910
ne0112,ne0112,Baroja,Aprendiz,1912,narrative,novela,adventure,Spain,36912891,XX842743,male,El aprendiz de conspirador,,bimo0000574174,Pío Baroja,,restricted,"bildungsroman,historical,memoir,realist,social,adventure",novela,,2016-03-16,#epublibre,epub,memorias,homodiegetic,male,mixed,prose,book,1770,Europe,Memorias de un hombre de acción,,Pedro (de ) Leguía (Pello),child,medium,?,realistic,Europe,Spain,mixed,mixed,modernista,contemporary,3650,medium,neutral,1812,low,modernism,3-modernista,1872,1956,,,,117,essay,0.5,1912,True,Spain,True,True,False,True,memorias,,"Aventuras, Histórico","Ficción contemporánea; Literatura y ficción, Literatura y ficción",,,memorias,,,50086,292314,135,58,0,2091,1068,38,10420,2292,34,0,7,89,0,11,0,1169,1023,3288,4169,0,8754.50,3691.27,7843.50,4061.75,2539,6112,8964,6927,1798,1893,5829,8060,3432,38,261,95,1170,249,630,88,1687,135.03,103.27,113.00,109.00,2.57,2.15,2.00,2.00,45948,,,,,26,880,95,203,482,386,163,1797,292,323,325,1146,1360,40,59,279,89,610,18,1111,290,120,29,69,22,97,754,111,432,217,140,10,374,432,98,44,89,20,270,101,255,148,286,31510,346,1910
ne0113,ne0113,Carrere,Jorobados,1920,narrative,novela,adventure,Spain,69147939,XX1156113,male,La torre de los siete jorobados,,bimo0000729771,Emilio Carrère,,restricted,"fantastic,crime-fiction,adventure",novela,,2016-04-19,#epublibre,epub,,heterodiegetic,male,big-city,prose,book,2190,Europe,,,Basilio Beltrán,adult,medium,detective,non-realistic,Europe,Spain,Madrid,Castilla,,contemporary,7,none,positive,?,low,modernism,4-modernista,1872,1947,,,,4,poetry,0.2,0,True,Madrid,True,True,False,False,novela policíaca,,"Fantástico, Humor, Intriga","Humor, Terror, Ciencia ficción",,,,,,50689,301895,42,16,0,1689,782,12,9600,1738,29,0,3,9,0,4,0,959,907,3705,5331,9,10851.28,3900.91,9863.00,7052.00,2641,9000,11353,9905,2454,3174,7247,9582,4687,32,339,81,846,115,181,60,2859,107.72,79.96,87.00,85.00,1.96,1.56,2.00,2.00,60495,,,,,33,822,75,519,755,624,362,2516,613,331,352,1337,2190,64,124,357,89,953,44,1587,661,225,71,157,67,131,819,123,640,539,204,11,635,246,106,81,127,11,543,189,241,303,497,39582,539,1920
ne0114,ne0114,Unamuno,PazGuerra,1897,narrative,novela,historical,Spain,88844103,XX1139151,male,Paz en la guerra,203743026,XX2213096,Miguel de Unamuno,,free,"modernist,realist,war-novel,historical",novela,,2016-06-23,#other,epub,,heterodiegetic,male,big-city,prose,book,16957,Europe,las dos primeras novelas,,Pedro Antonio Iturriondo,adult,medium,business owner,realistic,Europe,Spain,Bilbao,País Vasco,realista,contemporary,730,medium,negative,1874,medium,modernism,2-modernista,1864,1936,medium,,,167,essay,2.0,1901,True,Bilbao,True,True,True,True,,novela de guerra,,"Militar, Bélica, Ficción clásica; Militar, Bélica, Ficción clásica; Ficción clásica;",,,,,,99681,584038,8,114,0,1797,597,148,20805,1924,5,0,0,1,0,30,0,684,1200,4377,1445,1,118389.40,25878.69,115040.00,29578.00,5904,17562,24468,16419,3597,5936,17228,19260,8447,127,438,131,2175,345,849,154,3397,176.79,132.48,147.00,140.00,2.38,2.14,2.00,2.00,119517,,,,,113,1496,228,638,826,1283,673,3001,1293,916,630,2862,4057,256,329,974,201,1287,150,1940,900,481,89,223,53,298,1625,210,1858,713,760,45,805,1004,127,131,253,25,979,468,791,643,959,81878,1038,1890
ne0115,ne0115,Baroja,Aviraneta,1931,narrative,?,historical,Spain,36912891,XX842743,male,Aviraneta: o la vida de un conspirador,,bimo0000574210,Pío Baroja,,restricted,"bildungsroman,memoir,historical",novela,,2016-03-16,#epublibre,epub,,heterodiegetic,male,mixed,prose,book,3902,Europe,,,Eugenio de Aviraneta,child,medium,adventurer,realistic,mixed,mixed,mixed,mixed,modernista,contemporary,25550,low,negative,180?,low,modernism,3-modernista,1872,1956,,,,117,essay,0.2,1912,True,mixed,True,True,False,False,,,Historia, Ficción contemporánea,,,,,,79485,465847,70,11,0,2379,385,383,11872,2491,51,0,0,16,0,3,0,475,1994,4029,1737,18,8922.55,5207.46,7953.00,5262.50,4861,11774,18665,12680,2527,3476,12678,11138,5998,208,602,37,2618,889,1816,276,3417,131.36,91.03,113.00,96.00,2.15,1.50,2.00,2.00,84644,,,,,26,1666,94,524,869,1107,308,2893,676,709,442,2501,2336,100,83,641,288,896,53,1669,350,175,39,81,30,189,1377,155,1119,230,222,6,899,981,174,103,187,15,499,174,548,262,479,57675,793,1930
